 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Mazda,CX-80,3.0L Inline-6,"3,000cc",250hp,210km/h,7.5 sec,"$45,000 - $50,000",Petrol,7,400 Nm
Mazda,T1500,1.5L Inline-4,"1,500cc",75hp,120km/h,18.0 sec,"$15,000 - $18,000",Petrol,dos,105 Nm
Mazda,Bongo Van,2.0L Inline-4,"2,000cc",100hp,160km/h,14.0 sec,"$18,000 - $22,000",Petrol/Diesel,3,140 Nm
Mazda,Bongo Friendee,2.5L Inline-4,,115hp,160km/h,12.5 sec,"$20,000 - $24,000",petrol/diesel,7,160 Nm
Mazda,Revue,1.3L Inline-4,"1,300cc",75hp,130km/h,15.5 sec,??,Petrol,5,110 Nm
Mazda,Proteg�,1.8L Inline-4,"1,800cc",125hp,185km/h,9.0 sec,??,Petrol,,170 Nm
Mazda,Xedos 6,2.5L V6,"2,500cc",170hp,215km/h,8.5 sec,25.00030.000€,Petrol,5,230 Nm
Mazda,Xedos 9,3.0L V6,"3,000cc",200hp,220km/h,7.5 sec,"$30,000 - $35,000",Petrol,5,260 Nm
Mazda,121,1.3L Inline-4,"1,300cc",70hp,155 kmh,13.0 sec,??,Petrol,5,110 Nm
Mazda,1200,1.2L Inline-4,"1,200cc",60hp,130km/h,16.0 sec,??,Petrol,4,90 Nm
Mazda,1500,1.5L Inline-4,"1,500cc",,145km/h,14.0 sec,"$12,000 - $15,000",Petrol,5,120 Nm
Mazda,RX-2,1.3L Inline-2 (Wankel),1308CC,130hp,185km/h,8.5 sec,"$20,000 - $25,000",Petrol,,220 Nm
Mazda,RX-5,1.6L Inline-2 (Wankel),"1,588cc",135hp,190km/h,8.0 sec,"$25,000 - $30,000",Petrol,4,210 Nm
Mazda,RX-7 Spirit R,1.3L Inline-2 (Wankel),"1,308cc",280hp,250km/h,5.5 sec,"$35,000 - $40,000",Petrol,,290 Nm
Mazda,Cosmo Sport (110S),1.0L Inline-2 (Wankel),"1,000cc",110hp,170km/h,10.0 sec,"$30,000 - $35,000",Petrol,2,150 Nm
Mazda,Eunos 500,2.0L Inline-4,1998CC,135hp,200km/h,9.0 sec,"$25,000 - $28,000",Petrol,5,170 Nm
Mazda,Eunos Roadster,1.6L Inline-4,"1,590cc",116hp,180km/h,9.5 sec,"$15,000 - $18,000",Petrol,2,140 N·m
Mazda,Familia Astina,1.8L Inline-4,"1,800cc",135hp,200km/h,8.5 sec,??,Petrol,5,170 Nm
Mazda,Savanna RX-7,1.3L Inline-2 (Wankel),"1,308cc",165hp,,7.5 sec,"$28,000 - $32,000",PETROL,2,
Mazda,Capella Cargo,2.0L Inline-4,"2,000cc",115hp,180km/h,12.0 sec,"$18,000 - $22,000",Petrol,,160 Nm
Mazda,818,1.6L Inline-4,"1,600cc",100hp,170km/h,12.5 sec,,Petrol,5,130 Nm
Mazda,Sentia Hardtop Coupe,2.5L V6,"2,500cc",160hp,210km/h,8.0 sec,??,Petrol,4,220 Nm
Mazda,Biante,2.0L Inline-4,"2,000cc",150hp,185 Km/h,10.0 sec,"$22,000 - $26,000",Petrol,7,200 Nm
Mazda,Premacy Hydrogen RE Hybrid,1.3L Wankel + Electric,"1,308cc",200hp,180km/h,9.5 sec,"$40,000 - $45,000",Hybrid,cinco,260 Nm
Mazda,Carol P360,0.36L Inline-2,360CC,26hp,85km/h,35.0 sec,"$8,000 - $10,000",Petrol,4,45 nm
Mazda,T2000,2.0L Inline-4,"2,000cc",110hp,170km/h,12.5 sec,"$18,000 - $20,000",Petrol,2,160 Nm
Mazda,AZ-Offroad,1.3L Inline-4,"1,298cc",85hp,145km/h,12.0 sec,"$15,000 - $18,000",Petrol,5,130 Nm
Mazda,Scrum Wagon,0.66L Inline-3,657cc,64hp,120km/h,15.5 sec,"$10,000 - $12,000",Petrol,cuatro,95 Nm
Mazda,Persona,1.5L Inline-4,"1,497cc",N/A,160km/h,13.5 sec,"$13,000 - $16,000",Petrol,5,130 Nm
Mazda,Astina,1.8L Inline-4,"1,800cc",140hp,190km/h,8.5 sec,,Petrol,5,160 Nm
Mazda,Etude,1.6L Inline-4,,105hp,170km/h,10.0 sec,14.00016.000€,Petrol,5,135Nm
Mazda,Porter,1.5L Inline-4,"1,497cc",95hp,130km/h,14.0 sec,"$12,000 - $15,000",Petrol,2,130 Nm
Mazda,MX-3,1.6L Inline-4,"1,598cc",130hp,190km/h,8.5 sec,"$18,000 - $22,000",Petrol,4,140 Nm
Mazda,MX-5 Superlight Concept,1.8L Inline-4,1798CC,143hp,200km/h,7.5 sec,"$30,000 - $35,000",Petrol,2,160 nm
Mazda,Premacy Hydrogen RE,1.3L Wankel + Electric,"1,308cc",200hp,180 Km/h,9.5 sec,"$40,000 - $45,000",Hybrid,5,260 Nm
Mazda,Bongo Truck,2.0L Inline-4,"199,8 cc",120hp,130km/h,15.0 sec,"$15,000 - $18,000",Petrol,2,150 Nm
Mazda,Rotary Pickup,1.3L Wankel Rotary Engine,"1,308cc",130hp,150km/h,14.5 sec,"$18,000 - $22,000",Petrol,2,160 Nm
Mazda,Luce Rotary Coupe,1.3L Wankel Rotary Engine,"1,308cc",135hp,175km/h,12.0 sec,"$25,000 - $30,000",Petrol,,180 Nm
Mazda,Millenia S,2.5L V6,"2,500cc",200hp,220km/h,8.0 sec,"$30,000 - $35,000",Petrol,5,250 Nm
Mazda,787B (Race Car),2.6L Wankel Rotary Engine,"2,620cc",700hp,,3.5 sec,"$5,000,000 - $70000",Petrol,1,500 Nm
Toyota,Crown Signia,2.5L Hybrid I4,2487cc,240hp,N/A,7.6 sec,"$43,590 - $48,000",Hybrid (Gas + Electric),5,239 Nm
Toyota,4Runner (6th Gen),2.4L Turbo I4 (i-FORCE MAX Hybrid),2393cc+Battery,326hp,180km/h,6.8 sec,$50000 ,Hybrid,7,630 Nm
Toyota,Corolla Cross,2.0L Gas / 2.0L Hybrid,1987cc/Hybridbatt,169-196hp,190km/h,8.0 - 9.2 sec,$25210 - $29135,Gas / Hybrid,5,190 - 210 Nm
Toyota,C-HR+,1.8L / 2.0L Hybrid,1798/1987cc+batt,140-198hp,180km/h,7.9 - 10.5 sec,"$ 33,000",Hybrid,,190 - 205 Nm
Toyota,RAV4 (6th Gen),2.5L Hybrid / Plug-in Hybrid,2487cc+batt,219-302hp,200km/h,6.0 - 8.1 sec,$29000 - $43000,Hybrid / Plug-In,5,221 - 400 Nm
Alfa Romeo,Giulia Quadrifoglio,2.9L Twin-Turbo V6,2891cc,,307km/h,3.9 sec,$86000,Petrol,5,600 Nm
Alfa Romeo,Stelvio Quadrifoglio,2.9L Twin-Turbo V6,2891cc,510hp,283 Km/h,3.8 sec,$92000,Petrol,5,600 Nm
