 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Ferrari,SF90 STRADALE,V8,3990cc,963hp,340km/h,2.5 sec,"$1,100,000 ",Plug In Hybrid,2,800 Nm
Rolls Royce,PHANTOM,V12,6749cc,563-hp,250km/h,5.3 sec,"$460,000 ",Petrol,5,900 N·m
Ford,KA+,1.2L Petrol,"1,200cc",70-85hp,165km/h,10.5 sec,"$12,000-$15,000",Petrol,5,100 - 140 Nm
Mercedes,GT 63 S,V8,"3,982cc",630hp,250km/h,3.2 sec,"$161,000 ",Petrol,4,900 Nm
Audi,R8 Gt,V10,"5,204cc",602hp,320km/h,3.6 sec,"$253,290 ",Petrol,2,560 Nm
McLaren,720S,V8,"3,994cc",710 hp,341km/h,2.9 sec,"$499,000 ",Petrol,dos,770 Nm
Aston Martin,VANTAGE F1,V8,"3,982cc",656hp,314km/h,3.6 sec,"$193,440 ",Petrol,2,685 Nm
Bentley,Continental GT Azure,V8,"3,996cc",550hp,318km/h,4.0 sec,"$311,000 ",Petrol,4,900 Nm
Lamborghini,VENENO ROADSTER,V12,"6,498cc",750hp,356km/h,2.9 sec,"$4,500,000 ",Petrol,2,690 Nm
Ferrari,F8 TRIBUTO,V8,3900 cm3,N/A,340km/h,2.9 sec,"$280,000 ",PETROL,,770 Nm
Ferrari,812 GTS,V12,6496cc,N/A,340km/h,2.9 sec,"$350,000 ",Petrol,2,718 N·m
Ferrari,PORTOFINO,V8,"3,900cc",592hp,320km/h,3.2 sec,"$210,000 ",Petrol,4,760 Nm
Ferrari,ROMA,V8,"3,900cc",612hp,N/A,3.4 sec,"$230,000 ",Petrol,4,760 Nm
Ferrari,MONZA SP2,V12,"6,496cc",789hp,340km/h,2.9 sec,"$1,700,000 ",PETROL,2,719 Nm
Ferrari,F8 SPIDER,V8,"3,900cc",710hp,340km/h,2.9 sec,"$280,000 ",Petrol,2,770 Nm
Ferrari,PORTOFINO M,V8,"3,900cc",612hp,320km/h,3.2 sec,"$220,000 ",Petrol,4,760 Nm
Ferrari,ROMA SPIDER,V8,3900 cm3,612hp,320km/h,3.4 sec,"$240,000 ",Petrol,4,760 Nm
Toyota,GR SUPRA,I4,"2,998cc",382HP,N/A,4.1 sec,"$53,900 ",Petrol,dos,500 Nm
Toyota,86,BOXER-4,"1,998cc",205hp,226km/h,6.4 sec,"$27,000 ",Petrol,4,205 Nm
Toyota,GR86,BOXER-4,"2,387cc",228hp,226km/h,5.6 sec,"$30,000 ",Petrol,4,250 Nm
Toyota,LAND CRUISER,V8,"5,663cc",381hp,220 Km/h,6.7 sec,"$85,000 ",diesel,7,500 Nm
Toyota,SEQUOIA,V8,5663CC,381hp,200km/h,6.9 sec,"$50,000 ",Petrol,7,651 Nm
Nissan,GT-R,V6,"3,799cc",600hp,315km/h,2.9 sec,"$113,000 ",PETROL,4,637 Nm
Nissan,370Z,V6,"3,696cc",332hp,250km/h,4.7 sec,"$30,000 ",Petrol,2,366 Nm
Nissan,Z PROTO,V6,"2,998cc",400hp,290km/h,4.1 sec,"$40,000 ",Petrol,2,475 Nm
Nissan,ALTIMA,I4,,,225km/h,7.3 sec,"$25,000 ",Petrol,5,380 Nm
Nissan,MAXIMA,V6,"3,498cc",300hp,240km/h,5.8 sec,"$35,000 ",Petrol,5,354 Nm
Nissan,SENTRA,I4,"1,998cc",149hp,200km/h,8.2 sec,"$20,000 ",Petrol,5,240 Nm
Nissan,ROGUE,I4,"2,488cc",201hp,200km/h,7.5 sec,"$28,000 ",Petrol,cinco,270 Nm
Nissan,PATHFINDER,V6,"3,498cc",284hp,225km/h,6.5 sec,"$35,000 ",Petrol,7,351 Nm
Nissan,FRONTIER,V6,"3,799cc",310hp,N/A,6.8 sec,"$30,000 ",Petrol,5,381 Nm
Nissan,TITAN,V8,"5,598cc",400hp,200km/h,5.9 sec,"$40,000 ",Petrol,5,560 Nm
Aston Martin,VALKYRIE,V12,"6,496cc",1160hp,402km/h,2.5 sec,3.200.000€,Hybrid,dos,900 Nm
Aston Martin,VALHALLA,V8,3996 cc,1000hp,362km/h,2.5 sec,??,Hybrid,2,1000 Nm
Aston Martin,DBS SUPERLEGGERA,V12,"5,204cc",715hp,340km/h,3.4 sec,"$316,000 ",Petrol,2,900 Nm
Aston Martin,DB11,V12,"5,204cc",600hp,322km/h,3.9 sec,"$208,000 ",Petrol,4,700 Nm
Aston Martin,VANTAGE,V8,"3,996cc",503hp,313km/h,3.6 sec,"$142,000 ",Petrol,2,685 Nm
Aston Martin,DBX,V8,"3,996cc",542hp,291km/h,4.5 sec,"$189,000 ",Petrol,cinco,700 Nm
Aston Martin,RAPIDE AMR,V12,"5,935cc",N/A,328km/h,4.2 sec,,Petrol,4,630 Nm
Aston Martin,VANQUISH,V12,"5,935cc",580hp,324km/h,3.6 sec,"$294,000 ",Petrol,2,630 Nm
Aston Martin,LAGONDA TARAF,V12,"5,935cc",540hp,,4.2 sec,"$1,100,000 ",Petrol,4,630
Aston Martin,VICTOR,V12,"5,204cc",836hp,320km/h,2.8 sec,"$1,300,000 ",Petrol,2,821 Nm
Lamborghini,SIAN,V12,"6,498cc",819hp,350km/h,2.8 sec,"$2,800,000 ",Hybrid,2,720 Nm
Lamborghini,AVENTADOR SVJ,V12,"6,498cc",759hp,350km/h,2.8 sec,"$518,000 ",Petrol,2,720 Nm
Lamborghini,HURACAN PERFORMANTE,V10,"5,204cc",640hp,325 Km/h,2.9 sec,274.000€,Petrol,2,600 Nm
Lamborghini,HURACAN EVO,V10,"5,204cc",640hp,325km/h,2.9 sec,"$261,000 ",Petrol,2,600 Nm
Lamborghini,AVENTADOR SV,V12,"6,498cc",740hp,350 Km/h,2.8 sec,"$493,000 ",Petrol,2,
Lamborghini,URUS,V8,3996 cm3,641hp,305km/h,3.6 sec,"$211,000 ",Petrol,5,850 Nm
Lamborghini,HURACAN SPYDER,V10,"5,204cc",610hp,325km/h,3.4 sec,"$287,000 ",PETROL,2,600 Nm
Lamborghini,AVENTADOR ROADSTER,V12,"6,498cc",700hp,350km/h,3.0 sec,"$445,000 ",Petrol,2,690 Nm
Lamborghini,HURACAN  PERFORMANTE SPYDER,V10,"5,204cc",640hp,325km/h,3.1 sec,"$308,000 ",Petrol,2,600 Nm
Lamborghini,AVENTADOR S,V12,"649,8 cc",740hp,350km/h,2.9 sec,"$421,000 ",Petrol,2,690 Nm
Lamborghini,HURACAN EVO SPYDER,V10,5204 cc,640hp,325km/h,3.1 sec,"$287,000 ",Petrol,2,600 Nm
Lamborghini,URUS PERFORMANTE,V8,3996 cc,641hp,N/A,3.3 sec,"$242,000 ",Petrol,5,850Nm
Lamborghini,AVENTADOR ULTIMAE,V12,"6,498cc",769hp,355km/h,2.8 sec,"$545,000 ",Petrol,dos,720 Nm
Lamborghini,HURACAN EVO RWD,V10,"5,204cc",610hp,325km/h,3.3 sec,"$258,000 ",Petrol,2,560 Nm
Lamborghini,AVENTADOR SVJ ROADSTER,V12,"6,498cc",759hp,350km/h,2.9 sec,"$573,000 ",Petrol,2,720 Nm
Lamborghini,URUS S,V8,"3,996cc",671hp,305km/h,3.3 sec,"$263,000 ",Petrol,5,850 Nm
Lamborghini,HURACAN STO,V10,"5,204cc",640hp,325km/h,3.0 sec,"$327,000 ",Petrol,2,565 Nm
Lamborghini,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498cc",769hp,355km/h,2.8 sec,"$545,000 ",PETROL,2,720 Nm
Lamborghini,HURACAN EVO RWD SPYDER,V10,"5,204cc",610 hp,325km/h,3.3 sec,??,petrol,2,600 Nm
Lamborghini,AVENTADOR SVJ XAGO,V12,"6,498cc",759hp,350km/h,2.9 sec,"$603,000 ",Petrol,2,720 Nm
Lamborghini,URUS GRAPHITE CAPSULE,V8,"3,998cc",641hp,305km/h,3.3 sec,"$253,000 ",Petrol,5,850 Nm
Lamborghini,HURACAN STO EVO,V10,"5,204cc",640hp,325km/h,3.0 sec,??,Petrol,2,565 Nm
Lamborghini,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498cc",769hp,355km/h,2.8 sec,"$573,000 ",Petrol,2,720 Nm
Rolls Royce,GHOST,V12,"6,592cc",591hp,250km/h,4.8 sec,332.000€,Petrol,5,850 Nm
Rolls Royce,WRAITH,V12,"6,592cc",624hp,250km/h,4.4 sec,"$330,000 ",Petrol,cuatro,870 Nm
Rolls Royce,DAWN,V12,"6,592cc",624hp,250km/h,4.9 sec,"$360,000 ",Petrol,4,870 Nm
Rolls Royce,CULLINAN,V12,"6,749cc",563hp,250km/h,5.2 sec,"$325,000 ",Petrol,5,850 Nm
Rolls Royce,PHANTOM EXTENDED,V12,"6,749cc",563hp,250km/h,5.3 sec,"$500,000 ",Petrol,5,
Rolls Royce,GHOST EXTENDED,V12,"6,592cc",591 hp,250km/h,4.8 sec,??,Petrol,5,850 Nm
Rolls Royce,WRAITH BLACK BADGE,V12,6592 cc,624 hp,250km/h,4.3 sec,"$360,000 ",Petrol,4,870 Nm
Rolls Royce,DAWN BLACK BADGE,V12,"6,592cc",624hp,250km/h,4.8 sec,"$390,000 ",Petrol,4,870 Nm
Rolls Royce,CULLINAN BLACK BADGE,V12,"6,749cc",563hp,250km/h,5.1 sec,"$350,000 ",Petrol,5,850 nm
Rolls Royce,PHANTOM COUPE,V12,"6,749cc",563hp,250km/h,5.3 sec,"$450,000 ",Petrol,4,870 Nm
Rolls Royce,GHOST COUPE,V12,"6,592cc",591hp,250km/h,4.8 sec,"$340,000 ",Petrol,4,850 Nm
Rolls Royce,WRAITH COUPE,V12,"6,592cc",624HP,250,4.4 sec,"$330,000 ",Petrol,4,870 Nm
Rolls Royce,DAWN CONVERTIBLE,V12,"6,592cc",624hp,250 Km/h,4.9 sec,??,Petrol,4,870 Nm
Rolls Royce,CULLINAN SUV,V12,6749 cc,563 hp,250km/h,5.2 sec,"$320,000 ",PETROL,5,850 Nm
Mercedes,BENZ S-CLASS S 580,V8,"3,982cc",496hp,250km/h,4.4 sec,"$116,000 ",Petrol,5,700 Nm
Mercedes,BENZ E-CLASS E 63 S,V8,"3,982cc",603hp,250 KMH,3.4 sec,??,Petrol,5,850Nm
Mercedes,BENZ CLA 45 AMG,I4,1991cc,,250km/h,4.1 sec,"$53,000 ",Petrol,5,500 nm
Mercedes,BENZ GLE 63 S,V8,"3,982cc",603hp,250km/h,4.2 sec,"$113,000 ",Petrol,5,850Nm
Mercedes,BENZ S-CLASS S 500,V6,desconocido,429hp,250km/h,4.9 sec,109.000€,Petrol,5,700 Nm
Mercedes,BENZ E-CLASS E 450,V6,"2,996cc",362hp,250 kmh,5.2 sec,"$62,000 ",Petrol,5,500 Nm
Mercedes,BENZ CLS 450,V6,"2,996cc",362hp,250km/h,5.2 sec,,Petrol,5,500 Nm
Mercedes,BENZ GT 53,V6,"2,996cc",429hp,,4.5 sec,"$99,000 ",Petrol,5,700 Nm
Mercedes,BENZ GLE 450,V6,2996 cm3,362hp,250km/h,5.5 sec,"$63,000 ",Petrol,5,500 nm
Mercedes,BENZ A-CLASS A 45 S,I4,"199,1 cc",N/A,250km/h,3.9 sec,"$53,000 ",Petrol,5,500 Nm
Mercedes,BENZ C-CLASS C 43,V6,"2,996cc",402hp,250km/h,4.7 sec,"$52,000 ",Petrol,5,520 Nm
Mercedes,BENZ E-CLASS E 350,I4,"1,991cc",255hp,250km/h,5.7 sec,"$49,000 ",Petrol,5,500 Nm
Mercedes,BENZ GLE 350,I4,"1,991cc",255hp,250km/h, 6.1 sec,"$53,000 ",Petrol,5,500 Nm
Mercedes,BENZ GLC 43,V6,"2,996cc",402hp,250km/h,4.7 sec,"$54,000 ",Petrol,cinco,520 Nm
Mercedes,BENZ GLA 45,I4,"1,991cc",382hp,,4.3 sec,"$48,000 ",Petrol,,500 Nm
Mercedes,BENZ GLC 350,I4,"1,991cc",255hp,250km/h,6.1 sec,"$46,000 ",Petrol,5,500 Nm
Mercedes,BENZ GLE 53,V6,"299,6 cc",429hp,250km/h,5.2 sec,"$71,000 ",Petrol,5,620 Nm
Mercedes,BENZ S-CLASS S 350,I4,"1,991cc",255hp,250km/h,6.5 sec,"$90,000 ",Petrol,5,500 Nm
Mercedes,BENZ EQS 53,ELECTRIC MOTOR,nan,751hp,250km/h,3.4 sec,"$102,000 ",Electric,5,950 Nm
Mercedes,BENZ MAYBACH S 680,V12,"5,980cc",630hp,250km/h,4.7 sec,"$200,000 ",Petrol,5,1000 Nm
Bmw,M5 CS,V8,"439,5 cc",627hp,305km/h,3.0 sec,"$142,000 ",Petrol,5,750 Nm
Bmw,M4 GTS,I6,"2,993cc",493hp,305km/h,3.7 sec,"$133,000 ",Petrol,4,600 Nm
Bmw,M3 COMPETITION,I6,"2,993cc",503hp,285km/h,3.5 sec,"$76,000 ",Petrol,5,650 nm
Bmw,M2 CS,I6,"2,993cc",444hp,280km/h,4.0 sec,83.000€,Petrol,4,550 Nm
Bmw,X5 M COMPETITION,V8,"4,935cc",523hp,285km/h,4.1 sec,"$114,000 ",Petrol,5,750 Nm
Bmw,X3 M COMPETITION,I6,2993CC,503hp,285km/h,4.1 sec,"$69,000 ",Petrol,5,650 Nm
Bmw,M8 GRAN COUPE,V8,"4,395cc",523hp,305km/h,3.3 sec,"$146,000 ",Petrol,5,750 Nm
Bmw,M850i DRIVE COUPE,V8,"4,935cc",523hp,285km/h,3.7 sec,,PETROL,4,750 Nm
Rolls Royce,DAWN BLACK BADGE VOLANTE,V12,"6,592cc",563hp,250 KMH,4.8 sec,"$398,000 ",Petrol,4,840 Nm
Rolls Royce,CULLINAN BLACK BADGE SUV,V12,desconocido,563hp,250km/h,5.1 sec,"$381,000 ",Petrol,5,850 Nm
Rolls Royce,PHATOM TRANQUILITY,V12,"6,749cc",563hp,250km/h,5.3 sec,"$475,000 ",Petrol,5,900 Nm
Rolls Royce,GHOST ZENITH,V12,"6,749cc",563hp,250km/h,4.9 sec,"$335,000 ",Petrol,5,900 Nm
Rolls Royce,WRAITH EAGLE VIII,V12,"6,592cc",623hp,250km/h,4.5 sec,"$349,000 ",Petrol,,800 Nm
Rolls Royce,PHATOM ORCHID,V12,"6,749cc",563hp,250km/h,5.3 sec,"$495,000 ",Petrol,5,900
Rolls Royce,GHOST AZURE,V12,"6,749cc",563hp,250km/h,4.9 sec,"$355,000 ",Petrol,5,900 Nm
Rolls Royce,WRAITH KRYPTOS,V12,"6,592cc",623hp,250km/h,4.5 sec,"$369,000 ",Petrol,4,800 Nm
Rolls Royce,DAWN SILVER BULLET,V12,,563hp,250km/h,4.8 sec,"$418,000 ",Petrol,4,840 Nm
Rolls Royce,CULLINAN FUX ORANGE,V12,"6,749cc",563hp,250km/h,5.1 sec,"$401,000 ",Petrol,5,850 Nm
Rolls Royce,PHANTOM CELESTIAL,V12,,563hp,250km/h,5.3 sec,"$515,000 ",Petrol,5,900 Nm
Rolls Royce,GHOST MYSORE,V12,"6,749cc",563hp,250km/h,4.9 sec,"$375,000 ",Petrol,5,900 Nm
Rolls Royce,WRAITH LUMINARY,V12,"6,592cc",623hp,250km/h,4.5 sec,"$389,000 ",Petrol,4,800Nm
Rolls Royce,DAWN BLACK BADGE ADAMAS,V12,"6,592cc",563hp,250km/h,4.8 sec,"$439,000 ",Petrol,4,840 Nm
Rolls Royce,CULLINAN RED DIAMOND,V12,"6,749cc",563hp,250km/h,5.1 sec,"$421,000 ",Petrol,5,850 Nm
Audi,R8 V10 PLUS,V10,"5,204cc",610hp,330km/h,3.2 sec,"$194,000 ",Petrol,2,560 Nm
Audi,RS7 SPORTBACK,V8,"3,993cc",591hp,305km/h,3.6 sec,"$114,000 ",Petrol,5,800 Nm
Audi,S8,V8,"3,993cc",563hp,305km/h,4.3 sec,"$101,000 ",Petrol,5,800 Nm
Audi,RS6 AVANT,V8,"3,993cc",591hp,305km/h,3.6 sec,"$109,000 ",Petrol,5,800 Nm
Audi,S7 SPORTBACK,V8,3993 cm3,563hp,305km/h,4.3 sec,"$96,000 ",Petrol,cinco,650 Nm
Audi,A8,V6,"2,995cc",335hp,250km/h,5.7 sec,"$86,000 ",Petrol,5,600 Nm
Audi,S5 COUPE,V6,2995CC,349hp,250,4.8 sec,"$64,000 ",Petrol,4,500 Nm
Audi,SQ5,V6,"2,995cc",349hp,250km/h,5.4 sec,62.000€,Petrol,5,500 Nm
Audi,S4 SEDAN,V6,"2,995cc",349hp,250km/h,4.7 sec,??,Petrol,5,500 Nm
Audi,S3 SEDAN,I4,"1,984cc",306hp,250km/h,4.8 sec,"$52,000 ",Petrol,5,400 Nm
Audi,Q7,V6,,335hp,250km/h,6.3 sec,"$60,000 ",Petrol,7,600 Nm
Audi,Q5,I4,"1,984cc",248hp,240km/h,6.3 sec,"$43,000 ",petrol,5,500 Nm
Audi,A7,V6,"2,995cc",335HP,250km/h,5.7 sec,68.000€,Petrol,5,600 Nm
Audi,A6,V6,"2,995cc",335-hp,250km/h,5.7 sec,"$58,000 ",Petrol,5,600 Nm
Audi,A5 COUPE,I4,"1,984cc",248hp,240km/h,6.3 sec,"$45,000 ",Petrol,4,500 Nm
Audi,A4,I4,"1,984cc",248hp,240 Km/h,6.5 sec,"$39,000 ",PETROL,5,400 N·m
Audi,Q3,I4,"1,984cc",248HP,230km/h,7.3 sec,"$35,000 ",Petrol,5,400 Nm
Audi,E-TRON,ELECTRIC ,95kwh,402hp,200km/h,5.5 sec,"$75,000 ",Electric,5,664 Nm
Audi,E-TRON SPORTBACK,ELECTRIC,95kwh,402hp,200km/h,5.5 sec,"$78,000 ",Electric,5,664 Nm
Audi,TT COUPE,I4,"1,984cc",248hp,250km/h,5.3 sec,"$49,000 ",Petrol,2,400 Nm
Bmw,I8 ROADSTER,ELECTRIC MOTOR,,369hp,250,4.4 sec,"$165,000 ",Hybrid,2,570 Nm
Bmw,330i,I4,"1,998cc",,250km/h,5.6 sec,"$45,000 ",Petrol,5,400 N·m
Bmw,M340i XDRIVE,I6,"2,998cc",382hp,250km/h,4.1 sec,"$57,000 ",Petrol,5,500 N·m
Bmw,430i COUPE,I4,1998CC,255hp,250km/h,5.8 sec,"$48,000 ",Petrol,4,400Nm
Bmw,M4 COMPETITION,I6,"2,993cc",503hp,290km/h,3.8 sec,"$81,000 ",Petrol,4,650 Nm
Bmw,530i,I4,"1,998cc",248hp,250 Km/h,5.9 sec,"$57,000 ",Petrol,5,400 nm
Bmw,M550i XDRIVE,V8,"4,395cc",523 hp,250km/h,3.6 sec,"$78,000 ",Petrol,5,650 Nm
Bmw,118i,I3,"1,499cc",136hp,213km/h,8.5 sec,"$32,000 ",Petrol,5,220 nm
Bmw,128ti,I4,1998CC,261hp,250km/h,6.1 sec,"$42,000 ",Petrol,5,400 Nm
Bmw,M135i XDRIVE,I4,"1,998cc",302hp,250km/h,4.8 sec,"$30,000 ",Petrol,,450 Nm
Bmw,116D,I3,"1,496cc",116-hp,200km/h,10.3 sec,"$30,000 ",Diesel,5,
Bmw,120D XDRIVE,I4,"1,995cc",190hp,230km/h,6.9 sec,"$38,000 ",Diesel,5,400 Nm
Bmw,116i,I3,"1,499cc",109hp,200km/h,10.9 sec,"$28,000 ",Petrol,5,200 Nm
Bmw,118D,I4,"1,995cc",150hp,216km/h,8.4 sec,"$34,000 ",DIESEL,5,380 Nm
Bmw,120i,I4,"1,998cc",178hp,N/A,7.1  sec,"$37,000 ",Petrol,5,300 Nm
Bmw,125i,I4,"1,998cc",224hp,N/A,6.1 sec,"$42,000 ",Petrol,5,400 Nm
Bmw,114D,I3,"1,496cc",95hp,185km/h,12.2 sec,"$27,000 ",Diesel,5,270 Nm
Bmw,114i,I4,"1,598cc",102hp,195km/h,11.2 sec,"$26,000 ",Petrol,5,200 Nm
Bmw,125D,I4,"1,995cc",224hp,240km/h,6.3 sec,"$44,000 ",Diesel,5,400 Nm
Bmw,118i XDRIVE,I3,"1,499cc",136HP,211km/h,8.9 sec,34.000€,Petrol,5,250 Nm
Bmw,116D EFFICIENTDYNAMICS,I3,"1,496cc",116hp,200km/h,10.9 sec,"$30,000 ",Diesel,5,270 nm
Bmw,118i SPORTLINE,I3,"1,499cc",136hp,213km/h,8.5 sec,"$35,000 ",Petrol,5,250 Nm
Bmw,118i M SPORT,I3,"1,499cc",136hp,213km/h,8.5 sec,"$37,000 ",Petrol,5,250 Nm
Bmw,120i M SPORT,I4,"1,998cc",178hp,230km/h,7.1 sec,"$39,000 ",Petrol,5,300 Nm
Bmw,116i EFFICIENTDYNAMICS,I4,"1,598cc",109hp,195km/h,10.9 sec,"$29,000 ",Petrol,5,200Nm
Bmw,116D ADVANTAGE,I3,"1,496cc",116hp,200km/h,10.5 sec,"$31,000 ",Diesel,5,270 Nm
Bmw,120D EFFICIENTDYNAMICS,I4,desconocido,163hp,225km/h,7.7 sec,,Diesel,5,400 Nm
Bmw,118i SHADOW LINE,I3,"1,499cc",136hp,213km/h,8.5 sec,"$36,000 ",Petrol,5,250 Nm
Bmw,118D SPORT LINE,I4,"1,995cc",N/A,216km/h,8.4 sec,"$36,000 ",Diesel,5,380 Nm
Bmw,120i XDRIVE,I4,"1,998cc",178hp,230 KMH,7.2 sec,"$40,000 ",Petrol,5,300 Nm
Bmw,114D SPORT LINE,I3,"1,496cc",95hp,185km/h,12.2 sec,"$28,000 ",Diesel,5,270 Nm
Bmw,118i URBAN LINE,I3,"1,499cc",136hp,N/A,8.5 sec,35.000€,PETROL,5,250 Nm
Volvo,XC90,I6,"1,969cc",247hp,200 kmh,6.5 sec,"$60,000 ",Petrol/Diesel,7,400 Nm
Volvo,XC60,I6,"1,969cc",247hp,220km/h,6.4 sec,"$55,000 ",Petrol/Diesel,5,400 Nm
Volvo,S90,I6,"1,969cc",295hp,N/A,5.9 sec,"$60,000 ",PETROL/DIESEL,5,400 Nm
Kia,SPORTAGE LX,I4,"2,480cc",187hp,200km/h,8.0 sec,"$27,000 ",Petrol,5,250 Nm
Kia,SPORTAGE EX,I4,"2,480cc",187hp,200km/h,8.0 sec,"$30,000 ",Petrol,5,250 Nm
Kia,SPORTAGE GT-LINE,I4,"2,480cc",187hp,200km/h,8.0 sec,32.000€,Petrol,5,350 Nm
Kia,SPORTAGE SX TURBO,I4,"1,998cc",240hp,210km/h,6.7 sec,36.000€,Petrol,5,400 Nm
Kia,SPORTAGE NIGHTFALL EDITION,I4,"2,480cc",187hp,200km/h,8.0 sec,"$33,000 ",Petrol,5,350 Nm
Honda,CIVIC TYPE R,I4,"1,996cc",315HP,272km/h,5.7 sec,"$44,000 ",PETROL,5,
Kia,SPORTAGE PHEV,I4 + ELECTRIC,"1,600cc/13.8kwh",261hp,180km/h,8.0 sec,??,Plug-In Hybrid,5,350 Nm
Kia,SPORTAGE 2024(BASE MODEL),I4,"2,480cc",187hp,200km/h,8.0 sec,"$26,000 ",Petrol,5,250 Nm
Kia,SPORTAGE 2024(TOP TRIM),I4,"1,998cc",,210km/h,6.7 sec,"$38,000 ",Petrol,5,400 Nm
Kia,SPORTAGE 2024(BASE AWD),I4,"2,480cc",187hp,200km/h,8.3 sec,"$29,000 ",Petrol/Awd,5,250 Nm
Kia,SPORTAGE X-LINE,I4,"2,480cc",N/A,200km/h,8.0 sec,"$32,500 ",Petrol,5,350 Nm
Kia,SPORTAGE 2024(S TRIM),I4,"2,480cc",187hp,200km/h,8.2 sec,"$28,000 ",Petrol,5,250 Nm
Honda,ACCORD,I4,"1,498cc",192hp,201km/h,7.1 sec,"$29,400 ",Petrol,5,370 Nm
Kia,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600cc/1.49kwh",227hp,180km/h,8.0 sec,"$37,000 ",Hybrid,5,350 Nm
Kia,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,"1,598cc/13.8kwh",261hp,N/A,7.9 sec,"$42,000 ",Plug-In Hybrid,5,350 Nm
Kia,SPORTAGE 2024(X-PRO),I4,"2,480cc",187hp,200km/h,8.1 sec,"$36,000 ",PETROL,5,400 Nm
Kia,SPORTAGE 2024(X-PRO PRESTIGE),I4,"2,480cc",187hp,200 Km/h,8.1 sec,"$38,000 ",Petrol,5,400 Nm
Kia,SPORTAGE 2024(SX TURBO AWD),I4,1998 cc,240hp,210 Km/h,6.5 sec,"$40,000 ",Petrol/Awd,5,400 Nm
Kia,SPORTAGE 2024(BASE FWD),I4,"2,480cc",187hp,200km/h,8.5 sec,"$26,500 ",Petrol,5,250 Nm
Honda,CR-V,I4,"1,498cc",190hp,186km/h,8.2 sec,"$30,000 ",Petrol/Hybrid,5,400 Nm
Honda,PILOT,V6,"3,471cc",,209km/h,6.3 sec,"$40,000 ",Petrol,8,360
Honda,CIVIC HATCHBACK,I4,"1,498cc",180hp,220km/h,6.8 sec,"$26,350 ",Petrol,5,300 Nm
Toyota,CAMRY,V6,"3,500cc",301hp,220km/h,6.0 sec,"$27,000 ",Petrol/Hybrid,5,250 Nm
Toyota,COROLLA,I4,"1,798cc",139hp,180km/h,9.4 sec,22.500€,Petrol/Hybrid,5,200 Nm
Toyota,PRIUS,I4,"1,798cc",121hp,180km/h,10.5 sec,"$26,700 ",Hybrid,5,142 Nm
Toyota,RAV4,I4,"2,494cc",203hp,200km/h,8.1 sec,??,Petrol/Hybrid,5,400 Nm
Toyota,HIGHLANDER,V6,"345,6 cc",295hp,220km/h,7.2 sec,"$38,400 ",Petrol/Hybrid,7,370 Nm
Toyota,4RUNNER,V6,3956 cc,270hp,200 kmh,7.5 sec,"$37,400 ",Petrol,5,400 Nm
Toyota,TACOMA,I4,"2,694cc",159hp,180km/h,9.5 sec,??,Petrol,5,400 Nm
Toyota,TUNDRA,V8,"5,663cc",381hp,220km/h,6.7 sec,"$39,900 ",Petrol,5,650 Nm
Toyota,AVALON,V6,"3,456cc",301hp,220km/h,6.9 sec,"$41,400 ",Petrol,5,400 Nm
Toyota,MIRAI,I4,"1,798cc",151hp,180 KMH,9.2 sec,"$52,400 ",Hydrogen,5,335 Nm
Toyota,SIENNA,V6,"2,494cc",245hp,190km/h,8.0 sec,"$44,150 ",Petrol/Hybrid,7,360 Nm
Toyota,VENZA,I4,"2,494cc",219hp,200km/h,7.5 sec,33.400€,Hybrid,5,400 Nm
Toyota,HIGHLANDER HYBRID,V6,"3,456cc",240hp,220km/h,8.2 sec,"$40,400 ",Hybrid,7,350 Nm
Toyota,LAND CRUISER PRADO,V6,"3,956cc",282hp,200km/h,7.2 sec,"$49,400 ",Petrol/Diesel,7,450 Nm
Toyota,TUNDRA HYBRID,V6,"3,456cc",344hp,220km/h,6.2 sec,"$43,400 ",Hybrid,5,650 Nm
Toyota,YARIS,I4,"1,496cc",N/A,180km/h,11.2 sec,"$18,400 ",petrol,5,150 Nm
Toyota,C-HR,I4,"1,986cc",144hp,200km/h,10.2 sec,,Petrol/Hybrid,cinco,250 Nm
Toyota,BZ4X,ELECTRIC,"64.8kwh(BaseModel),72.8kwh(HigherEndModel",218hp,200km/h,7.5 sec,"$43,400 ",Electric,5,330 Nm
Toyota,CROWN,HYBRID,"2,494cc",236hp,200,7.6 sec,"$38,400 ",Hybrid,5,400 Nm
Toyota,MR2,I4,"1,986cc",168hp,200km/h,6.9 sec,29.000€,Petrol,2,400 Nm
Toyota,CELICA,I4,"1,986cc",140hp,200km/h,8.5 sec,25.000€,Petrol,5,250 Nm
Honda,CITY,I4,"1,497cc",119hp,180km/h,10.2 sec,"$15,400 ",Petrol/Hybrid,5,145 Nm
Honda,CIVIC,I4,"1,996cc",158hp,200km/h,8.5 sec,"$20,400 ",Petrol,5,400 nm
